區域,餐廳名稱,人均價位下限,人均價位上限,建議一桌上限人數,地址,營業時間,公休日,鄰近捷運站,電話,訂位網站
大安區,Oregano奧瑞岡義式餐廳,400,600,8,台北市大安區四維路96號,"12:00–14:30
18:00–21:30",一,大安站,0227542324,
大安區,Ombré,400,800,8,台北市大安區復興南路二段130號2樓,11:30-22:00,,大安站,0227078884,https://inline.app/booking/ombre/ombre
大安區,AnticoForno老烤箱義式披薩餐酒,400,800,10,台北市大安區瑞安街141號,"12:00-14:00
18:00-22:00",二,大安站,0227063322,https://inline.app/booking/anticoforno
大安區,魚韻日式料理,400,600,6,台北市大安區瑞安街208巷24弄14號,"11:30–14:30
17:00–21:00",,大安站,0227069629,
大安區,鵝川,600,800,8,台北市大安區復興南路二段130號,"11:00–14:00
17:00–21:00",一,大安站,0223255677,
大安區,湄賽雲泰料理,100,200,10,台北市大安區和平東路二段118巷39號,"11:30–14:00
17:00–20:00",,大安站,0227373451,
大安區,CHIC BISTRO 餐酒館,400,600,12,台北市大安區瑞安街71巷5弄2號,17:00 - 02:00,一,大安站,0227083726,https://www.myfunnow.com/zh-tw/branches/3050559660831
大安區,曜日義式餐酒館,400,600,8,台北市大安區東豐街53號1 樓,11:30-21:00,,大安站,0227085910,
中山區,魚鄉屋湘菜餐廳,400,800,10,104台北市中山區明水路397巷2弄26號1樓,11:00-14:00 17:00-20:45,,大直站,02 8509 8606,
大同區,東方饌黔天下貴州主題餐廳,600,1000,6,103台北市大同區迪化街一段358之2號,11:30-14:00 17:30-21:00,一,大橋頭站,0225577872,https://inline.app/booking-L_orGq2TusuMKxRvBeD:inline-live-2a466/-L_orGzUyBDExqxY_Rzu
大同區,同安樂,400,600,5,103台北市大同區迪化街一段121號1 樓,11:00-20:00,,大橋頭站,0225576939,https://tonganness.com/
大同區,叁壹居酒屋Izakaya,600,1000,8,103台北市大同區延平北路二段93號,17:30-23:59,一,大橋頭站,0225558931,
中正區,新東南海鮮餐廳 汀州店,1000,2000,10,100台北市中正區汀州路一段105號,"11:30–14:00
17:00–21:30",,小南門站,0223014239,
中山區,明宮粵菜廳,1200,2000,12,10491台北市中山區中山北路二段37之1號3樓,11:30-14:30 18:00-21:30,,中山站,02 2542 3299,https://inline.app/booking/-LkbJbsjssf_J65i-eBA:inline-live-1/-LkbJcBU7cuLbz4N4GF6
中山區,梅子台灣料理餐廳 林森老店,600,800,15,10443台北市中山區林森北路107巷1號,17:00-22:00,一,中山站,0225213200,
中山區,金品茶樓,400,600,10,104台北市中山區長春路16號,11:00-14:00 17:00-21:00,,中山站, 02 2511 7506,
中山區,好食多涮涮屋 南西店,400,800,8,104台北市中山區南京西路5-1號號B1,11:30-15:00 17:30-22:00,,中山站,0225411000,https://inline.app/booking/-L6kXHn5uYdWzFcWoxuo:inline-live-2a466/-Lizznx-jnSjFRwKs3z_
中山區,蔡記隆府 龍頭寺老灶火鍋,800,1200,8,10491台北市中山區新生北路二段58巷6號,17:30-23:30,,中山站,0225713430,
中山區,螺絲瑪莉義麵坊,400,800,8,10491台北市中山區南京西路12巷13弄9號,11:30-14:30 17:30-20:30,,中山站,02 2521 9822,https://inline.app/booking/-KkE5aRULxqwZ3hWmHu2:inline-live-2a466/-KkE5aRULxqwZ3hWmHu3?language=zh-tw
